"File","Line","Issue","Element","Id","Controls","Panel","Snippet"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\404.html","141","state-mismatch","div","mobileMenu","hamburger-icon","mobileMenu","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\500.html","174","state-mismatch","div","mobileMenu","hamburger-icon","mobileMenu","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\about.html","190","state-mismatch","div","mobileMenu","hamburger-icon","mobileMenu","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\index.html","217","state-mismatch","div","mobileMenu","hamburger-icon","mobileMenu","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\join-pilot-roster.html","187","state-mismatch","div","mobileMenu","hamburger-icon","mobileMenu","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\join-pilot-roster.html","266","state-mismatch","div","join-mob-way1-panel","join-mob-way1-toggle","join-mob-way1-panel","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\join-pilot-roster.html","373","state-mismatch","div","join-way1-panel","join-way1-provideinfo","join-way1-panel","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\join-pilot-roster.html","461","state-mismatch","div","join-mob-way2-panel","join-mob-way2-toggle","join-mob-way2-panel","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\join-pilot-roster.html","569","state-mismatch","div","join-way2-panel","join-way2-provideinfo","join-way2-panel","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\join-pilot-roster.html","631","state-mismatch","div","join-mob-way3-panel","join-mob-way3-toggle","join-mob-way3-panel","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\join-pilot-roster.html","669","state-mismatch","div","join-pilot-req-panel","join-pilot-req","join-pilot-req-panel","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\join-pilot-roster.html","712","state-mismatch","div","join-mob-way4-panel","join-mob-way4-toggle","join-mob-way4-panel","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\join-pilot-roster.html","753","state-mismatch","div","join-faq-panel","join-faq","join-faq-panel","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html","182","state-mismatch","div","mobileMenu","hamburger-icon","mobileMenu","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\pilot-directory.html","188","state-mismatch","div","mobileMenu","hamburger-icon","mobileMenu","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\quote.html","186","state-mismatch","div","mobileMenu","hamburger-icon","mobileMenu","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\quote.html","376","panel-missing-role-region","div","quote-form-section","(n/a)","quote-form-section","<div class=""formwrap"" id=""quote-form-section"">"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\quote.html","376","panel-missing-aria-labelledby","div","quote-form-section","(n/a)","quote-form-section","<div class=""formwrap"" id=""quote-form-section"">"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\quote.html","376","state-mismatch","div","quote-form-section","quote-mob-form-toggle-btn","quote-form-section","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\quote.html","784","state-mismatch","div","quote-panel-1","quote-panel-pay-toggle","quote-panel-1","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\quote.html","847","state-mismatch","div","quote-panel-pilot-expenses","quote-panel-expenses-toggle","quote-panel-pilot-expenses","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\quote.html","879","state-mismatch","div","quote-panel-3","quote-panel-acexpenses-toggle","quote-panel-3","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\quote.html","908","state-mismatch","div","quote-panel-4","quote-panel-support-toggle","quote-panel-4","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\quote.html","959","panel-missing-role-region","tbody","quote-mob-main-rows","(n/a)","quote-mob-main-rows","<tbody 
      id=""quote-mob-main-rows""
      aria-label=""quote-mob-extra-row-btn""
      hidden>"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\quote.html","959","panel-missing-aria-labelledby","tbody","quote-mob-main-rows","(n/a)","quote-mob-main-rows","<tbody 
      id=""quote-mob-main-rows""
      aria-label=""quote-mob-extra-row-btn""
      hidden>"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\quote.html","959","state-mismatch","tbody","quote-mob-main-rows","quote-mob-extra-row-btn","quote-mob-main-rows","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\quote.html","1034","state-mismatch","div","quote-mob-expenses-container","quote-mob-expenses-btn","quote-mob-expenses-container","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\quote.html","1082","state-mismatch","div","quote-mob-dispatch-content","quote-mob-dispatch-btn","quote-mob-dispatch-content","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\services.html","193","state-mismatch","div","mobileMenu","hamburger-icon","mobileMenu","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\testimonials.html","179","state-mismatch","div","mobileMenu","hamburger-icon","mobileMenu","expanded=false but panel not hidden"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\thank-you.html","184","state-mismatch","div","mobileMenu","hamburger-icon","mobileMenu","expanded=false but panel not hidden"
