File,Line,Confidence,Reason,HasWidthHeight,Src,ImgOpenTag,Notes
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\index.html,338,High,missing-loading,FALSE,/assets/bleed-patch.png?v=20250907-192839,"<img src=""/assets/bleed-patch.png?v=20250907-192839"" alt=""patch"" class=""bleed-right-patch"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\index.html,289,High,missing-loading,FALSE,/assets/index-key-200px.jpg?v=20250907-192839,"<img 
              class=""desk-index-thumb""
              src=""/assets/index-key-200px.jpg?v=20250907-192839""
              alt=""Ferry Flights""
           ",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\index.html,375,High,missing-loading,TRUE,/assets/index-key-200px.jpg?v=20250907-192839,"<img src=""/assets/index-key-200px.jpg?v=20250907-192839"" alt=""Ferry Flights"" class=""mob-index-imgborder"" width=""200"" height=""150"" decoding=""async"">",has width+height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\join-pilot-roster.html,691,High,missing-loading,FALSE,/assets/join-pilot-roster/faq-taxiway.jpg?v=20250907-192839,"<img class=""join-mob-icon""
    src=""/assets/join-pilot-roster/faq-taxiway.jpg?v=20250907-192839""
    alt=""mini FAQ taxiway sign"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\join-pilot-roster.html,707,High,missing-loading,FALSE,/assets/join-pilot-roster/faq-taxiway.jpg?v=20250907-192839,"<img 
                        src=""/assets/join-pilot-roster/faq-taxiway.jpg?v=20250907-192839""
                        alt=""FAQ made out of taxiway signs"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\join-pilot-roster.html,729,High,missing-loading,FALSE,/assets/join-pilot-roster/faq-taxiway.jpg?v=20250907-192839,"<img 
                    src=""/assets/join-pilot-roster/faq-taxiway.jpg?v=20250907-192839"" 
                    alt=""mini FAQ taxiway sign"" 
               ",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\join-pilot-roster.html,743,High,missing-loading,FALSE,/assets/join-pilot-roster/faq-taxiway.jpg?v=20250907-192839,"<img 
                    src=""/assets/join-pilot-roster/faq-taxiway.jpg?v=20250907-192839""
                    alt=""FAQ made out of taxiway signs"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\join-pilot-roster.html,429,High,missing-loading,FALSE,/assets/join-pilot-roster/join-roster-sample.jpg?v=20250907-192839,"<img class=""join-sample-img"" 
                 src=""/assets/join-pilot-roster/join-roster-sample.jpg?v=20250907-192839"" alt=""Sample Pilot Listing"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,679,High,missing-loading,FALSE,/assets/past-deliveries/blog.jpg?v=20250907-192839,"<img 
            class=""testimonial-thumb"" 
            style=""width: 125px; cursor: pointer;"" 
            src=""/assets/past-deliveries/blog.jpg?v=20250907",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,751,High,missing-loading,FALSE,/assets/past-deliveries/blog.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" 
               style=""width: 125px; cursor: pointer;"" 
               src=""/assets/past-deliveries/blog.jpg?v=20250907-192839""",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,770,High,missing-loading,FALSE,/assets/past-deliveries/blog.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/blog.jpg?v=20250907-192839"" data-full=""/assets/past-deliverie",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,808,High,missing-loading,FALSE,/assets/past-deliveries/blog.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/blog.jpg?v=20250907-192839"" data-full=""/assets/past-deliverie",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,834,High,missing-loading,FALSE,/assets/past-deliveries/blog.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/blog.jpg?v=20250907-192839"" data-full=""/assets/past-deliverie",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,849,High,missing-loading,FALSE,/assets/past-deliveries/blog.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/blog.jpg?v=20250907-192839"" data-full=""/assets/past-deliverie",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,512,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839,"<img class=""desk-past-deliv-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839"" data-full",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,596,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839"" data-full=""/a",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,652,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839"" data-full=""/a",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,792,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839"" data-full=""/a",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,856,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839"" data-full=""/a",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,904,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839"" data-full=""/a",no width/height
