"File","Line","Issue","Snippet"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\404.html","52","img-only-link-empty-alt","<img
              class=""desk-header-logo""
              src=""data:image/gif;base64,R0lGODlhAQABAAAAACw=""
              width=""951""
              height=""1"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\500.html","85","img-only-link-empty-alt","<img
              class=""desk-header-logo""
              src=""data:image/gif;base64,R0lGODlhAQABAAAAACw=""
              width=""951""
              height=""1"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\about.html","95","img-only-link-empty-alt","<img
              class=""desk-header-logo""
              src=""data:image/gif;base64,R0lGODlhAQABAAAAACw=""
              width=""951""
              height=""1"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\index.html","120","img-only-link-empty-alt","<img
              class=""desk-header-logo""
              src=""data:image/gif;base64,R0lGODlhAQABAAAAACw=""
              width=""951""
              height=""1"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\join-pilot-roster.html","91","img-only-link-empty-alt","<img
              class=""desk-header-logo""
              src=""data:image/gif;base64,R0lGODlhAQABAAAAACw=""
              width=""951""
              height=""1"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html","92","img-only-link-empty-alt","<img
              class=""desk-header-logo""
              src=""data:image/gif;base64,R0lGODlhAQABAAAAACw=""
              width=""951""
              height=""1"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\pilot-directory.html","92","img-only-link-empty-alt","<img
              class=""desk-header-logo""
              src=""data:image/gif;base64,R0lGODlhAQABAAAAACw=""
              width=""951""
              height=""1"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\quote.html","92","img-only-link-empty-alt","<img
              class=""desk-header-logo""
              src=""data:image/gif;base64,R0lGODlhAQABAAAAACw=""
              width=""951""
              height=""1"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\quote.html","282","img-suspicious-alt","<img src=""https://upload.wikimedia.org/wikipedia/commons/6/6b/WhatsApp.svg"" 
                 alt=""WhatsApp""
                 aria-hidden=""true""
            "
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\services.html","93","img-only-link-empty-alt","<img
              class=""desk-header-logo""
              src=""data:image/gif;base64,R0lGODlhAQABAAAAACw=""
              width=""951""
              height=""1"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\testimonials.html","90","img-only-link-empty-alt","<img
              class=""desk-header-logo""
              src=""data:image/gif;base64,R0lGODlhAQABAAAAACw=""
              width=""951""
              height=""1"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\thank-you.html","92","img-only-link-empty-alt","<img
              class=""desk-header-logo""
              src=""data:image/gif;base64,R0lGODlhAQABAAAAACw=""
              width=""951""
              height=""1"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\thank-you.html","259","img-suspicious-alt","<img 
          src=""https://upload.wikimedia.org/wikipedia/commons/6/6b/WhatsApp.svg"" 
          alt=""WhatsApp""
          style=""height: 1.3em; vertical-ali"
"C:\Users\Public\Documents\Web Design\aircraft-delivery-site\thank-you.html","356","img-suspicious-alt","<img 
          src=""https://upload.wikimedia.org/wikipedia/commons/6/6b/WhatsApp.svg"" 
          alt=""WhatsApp""
          style=""height: 1.3em; vertical-ali"
